X2_phon,Freq
bu,128.33
buRime,0.14
but@tR5,0.39
butikje,0.18
but6,32.44
buvje,0.15
buzuki,0.21
bov5,0.23
bOks,2.48
bOksofis,0.35
bOksER,0.75
bOks9R,0.75
bOks9R,8.71
bOks6,0.62
bOj,12.82
bOjskut,2.09
bwajaR,3.96
bwajo,2.86
bOjkOt,0.64
bozo,0.25
bRyle,2.35
bRylaZ,0.1
bRyl9R,0.37
bRyli,0.11
bRylo,0.14
bReSE,0.11
bRezil,0.1
bRezilj5,2.88
bRevjER,0.21
bRab@,0.2
bRaslE,13.45
bRakonaZ,0.28
bRakonje,0.85
bRaj,0.55
bREm@,7.91
bRamm@,0.11
bR@,0.16
bR@kaR,2.47
bR@kaRdje,1.42
bR@SaZ,0.41
bR@Sm@,0.52
bR@d6,0.12
bR@di,3.1
bR@l,0.68
bR@lba,0.29
bR@l9R,5.22
bRakaZ,7.74
bRakmaR,0.22
bRak9R,3.12
bRa,149.26
bRazje,1.47
bRasaR,0.71
bRas9R,0.24
bRavisimo,0.15
bRavo,8.93
bREk,7.18
bREkf9st,0.64
bREf,0.16
bR9l@,1.29
bR9t6,0.35
bREt9R,0.31
bR9vaZ,0.88
bR9vE,3.1
bRi,0.54
bRik,1.51
bRikolaZ,0.89
bRikol9R,0.58
bRidZ,4.33
bRifiG,3.25
bRigadje,2.86
bRig@,5.14
bRig@daZ,0.3
bRig@t5,0.2
bRij@,3.45
bR5,5.38
bRijo,0.93
bRikE,10.64
bRi,0.9
bRiz@,0.2
bRiskaR,0.18
bRiz9R,1.11
bRistOl,0.1
bRo,0.38
bRok@t9R,0.29
bRokaR,0.14
bRokaR,0.37
bRoSE,0.46
bRokoli,1.32
bRomyR,0.52
bR6tozoR,0.12
bR6zaZ,1.67
bR6z,3.37
bRuk,0.12
bRosaZ,0.2
bRuaa,4.98
bRujaZ,0.62
bRujaR,10.88
bRuj9R,0.78
bRuj6,1.17
bRusaR,0.28
bRu,0.1
bRwaj9R,1.56
bRyN6,0.14
bR8ism@,0.77
bR8i,94.13
bR8itaZ,0.23
bRymER,0.1
bR1,2.37
bR9nS,1.63
bR9SiG,0.65
bRyt,0.55
byb6,0.22
buko,0.21
byda,0.4
bydZE,11.21
byfE,6.93
byfl,1.79
b9g,1.9
b9gi,0.28
b9gz,1.9
bildiG,2.01
b8is6,7.73
bylb,0.47
byl,1.04
buldOg,0.49
byldozER,2.33
bylt5,6.35
b9mp9R,0.14
bunkER,4.51
byRo,167.13
byRokRat,1.95
b9Rg9R,2.31
byR5,0.59
byRlEsk,0.34
byRnus,0.13
bys,50.63
buS,0.24
biznEs,15.62
bizinEsman,1.31
biznEsmEn,1.31
byst,2.44
bystje,0.2
by,78.43
bytagaz,0.14
bytan,0.13
byt9R,0.39
byt5,6.35
bytwaR,0.33
bytOR,0.28
byt,78.43
byt9R,0.11
byvaR,0.12
byv9R,2.22
bi,12.49
se,59.73
sEdR,0.7
sEp,0.78
kol6,0.23
kon,1.08
kote,285.99
kablaZ,0.44
kabl,17.04
kabl9R,0.19
kal5,6.38
seaRa,0.14
seZEp,0.54
selebR@,0.11
selad6,0.22
sElRi,1.62
seliba,1.75
senakl,0.41
seRemonjal,0.69
seRamik,0.85
seRymEn,0.13
sezaR,0.59
sezjOm,0.2
setase,0.19
kaid,2.63
kaim@,1.02
kab,0.42
kab@,0.14
kaban6,1.27
kabaRE,4.82
kabaR9tje,0.25
kaba,0.14
kabERnE,0.16
kabEst@,0.23
kabijo,0.25
kabinE,21.97
kabo,1.52
kabot5,0.2
kabRijolE,0.65
kaka,3.09
kakao,1.3
kakatoEs,0.12
kaSalo,0.72
kaSkaS,3.42
kaSne,0.15
kaSpo,0.16
kaSmiR,1.38
kaSE,16.46
kaSt6,0.59
kaSo,3.67
kaSotje,0.71
kaSu,0.23
kaktys,2.86
kadastR,0.56
kadavR,47.75
kadi,1.5
kadi,0.81
kad,0.14
kado,125.79
kadna,2.1
kadE,7.39
kadi,0.1
kadmjOm,0.13
kadog@,0.2
kadOR,0.45
kadRaZ,0.59
kadR@,1.58
kadR,13.53
kadR9R,0.14
kadyse,0.16
sezjOm,0.11
kafe,163.56
kafaR,9.87
kafaRdaZ,0.11
kafaRd9R,0.29
kaft@,0.29
kaf9tje,0.35
kafujaZ,0.33
kaft@,0.15
kaft9R,0.51
kaZo,1.21
kaZibi,0.85
kaje,6.98
kajo,3.09
kaju,10.02
kesje,4.32
kEs6,1.72
kaZol9R,0.1
kaZu,0.18
kEk,3.13
kal,3.54
kaleidOskOp,0.11
kalabRE,0.23
kalamaR,1.09
kalam,0.14
kalamite,2.21
kalkER,0.28
kalsif,0.1
kalsjOm,0.98
kalkyl,11.47
kalkylat9R,0.24
kals6,7.58
kalbaR,0.16
kal@buR,0.4
kal@dRije,6.18
kal@dyla,0.15
kalp5,1.17
kalf2tRaZ,0.14
kalibRaZ,0.13
kalibR,7.32
kalis,1.42
kaliko,0.32
kalif,3.51
kalifORnj5,0.28
kalis6,0.14
kalm@,7.38
kalmaR,1.1
kalm,105.2
kalOmnjat9R,0.12
kalo,0.23
kalymE,0.24
kalvER,2.19
kalvinizm,0.1
kame,2.69
kame,0.58
kamele6,2.51
kamelja,0.42
kameRaman,1.28
kameRam@,1.28
kameskOp,0.78
kamaRo,0.38
k@bwi,0.38
k@bRijolaZ,8.05
k@bRijol9R,4.7
kamlo,0.48
kam@bER,0.8
kameRaman,1.68
kameRamEn,1.68
kamj6,59.46
kamj6sitERn,0.7
kamjonaZ,0.18
kamjon9R,2.17
kamuflaZ,2.43
k@,114.93
k@paNaR,0.16
k@pm@,2.52
k@p9R,0.68
k@fR,0.26
k@piG,4.2
k@piGkaR,1.06
k@po,0.58
k@pys,6.04
kamy,0.16
kanadER,0.26
kanadj5,1.96
kanal,17.11
kanape,18.58
kanaR,23.85
kanaRi,2.72
kanas6,0.98
kano,17.11
k@seR2,0.18
k@k@,1.29
k@sEl,0.27
k@sER,23.15
k@kR,0.97
k@kR9la,0.23
k@delabR,0.5
k@dida,0.13
k@dida,17.7
kant6,0.69
kanva,0.32
kaniS,2.56
kanif,0.95
kanivo,2.94
kana,0.1
kanabis,1.05
kanelOni,0.93
kanEloni,0.93
kanibalizm,1.61
kanoe,1.95
kan6,22.22
kanonje,0.39
kano,4.58
kanotje,0.16
k@tinje,0.23
k@tik,1.68
k@t6,0.36
k@tonE,0.11
k@tOnm@,0.81
k@tonje,0.19
kanylaR,1.98
kanj6,4.45
kautSu,5.59
kap,19.49
kapilER,0.3
kapitEn,152.69
kapital,6.56
kapitalizm,2.97
kapit@,0.1
kapito,6.56
kapitOl,0.1
kapo,2.17
kapoRal,10.22
kapoRalSEf,0.52
kapoRo,10.22
kapo,3.17
kaputSino,1.98
kapRis,8.94
kapRikORn,0.34
kapt9R,2.79
kaptif,1.19
kaputSino,0.27
kapyS6,1.02
kapys5,0.18
kakE,0.46
kaktaZ,0.14
kaR,14.84
kaREm,0.25
kaRabinje,2.91
kaRako,0.28
kaRaktER,18.86
kaRakyl,0.27
kaRaf6,0.16
kaR@baR,0.43
kaR@bolaZ,0.48
kaRamEl,2.76
kaRa,1.46
kaRavanje,0.41
kaRavaniG,0.13
kaRav@seRaj,0.14
kaRbOn,3.18
kaRbyR@,5.67
kaRbyRat9R,1.11
kaRbyR,0.22
kaRk@,0.29
kaRsinOm,0.13
kaRd@,0.23
kaRdjak,0.16
kaRdig@,0.47
kaRdinal,5.18
kaRdino,5.18
kaRdijogRam,0.11
kaRgo,5.17
kaRibu,0.91
kaRij6,1.67
kaRl5,0.96
kaRlism,0.2
kaRm,0.14
kaRmEl,0.28
kaRm5,0.26
kaRnaZ,5.59
kaRnaval,7.86
kaRnE,13.23
kaRnje,0.27
kaRnivOR,0.49
kaRolys,0.1
kaRpaksjo,0.18
kaRkwa,0.34
kaRe,3.85
kaRo,8.1
kaRfuR,5.4
kaRlaZ,2.4
kaRl9R,0.14
kaRik,0.28
kaROs,2.77
kaRusEl,0.42
kaRi,0.61
kaRtabl,1.58
kaRtEl,2.04
kaRtER,1.14
kaRtilaZ,0.84
kaRtom@sj5,0.16
kaRt6,16.01
kaRt6pat,0.17
kaRtun,0.76
ka,280.59
kaskad9R,2.81
kaS,0.98
kaSmER,0.46
kazje,17.81
kazino,12.75
kazoaR,0.14
kask,15.42
kasaZ,0.16
kasb6b6,0.1
kaskuj,1.47
kaskRut,1.54
kasdal,0.29
kasg9l,0.1
kasnwazEt,0.22
kasnwazEt,0.13
kasnwa,0.12
kaspip,0.5
kastEt,0.69
kas9R,1.47
kasi,0.67
kasulE,0.52
kastEl,0.14
kastij@,0.38
kastiG,3.03
kastOR,2.86
kastRism,0.14
kateSizm,2.36
kataklizm,0.69
katal@,1.09
katalOg,4.87
kataliz9R,1.31
katamaR@,0.18
kataplasm,0.35
katS,2.47
katS9R,0.76
katetER,0.73
katolisizm,0.77
kati,0.7
kokazj5,0.19
koSmaR,36.94
koza,0.14
koz9R,0.58
kotER,0.13
kaval9R,0.19
kavalje,10.95
kavo,2.27
kavjaR,6.29
s5tyR6,0.91
s9la,0.3
selje,1.11
s@dRije,4.35
s@s9R,0.88
s@,11.77
s@toR,0.59
s@tavo,0.2
s@tjEm,0.35
s@tigRam,0.1
s@til,0.96
s@timEtR,6.81
s@tim,7.14
s@t6,0.32
s@tRaZ,0.11
s@tRal,7.35
s@tRo,7.35
s@tR,57
s@tR9vil,2.87
s@tRifyZ9R,0.28
s@tRijOl,0.14
s@tROm,0.14
s@typl,0.31
s@tyRj6,1.04
sEp,0.24
sERso,0.64
sERkl,21.77
sERk9j,22.14
sER,7.56
sERvol@,1.85
s9Rizje,0.88
sRizje,0.88
sERn,1.3
sERk,0.14
sERtif,0.14
sERtifika,12.3
sERvo,61.59
sERv9lE,0.85
sEself2,1.54
tSatSatSa,0.61
SEk,32.03
SEvR9f9j,0.11
SomaZ,12.5
Som9R,4.55
Sal,2.23
Sas,0.29
Sasi,0.97
SateNe,0.14
Sat5,0.2
Sato,43.68
SatobRij@,0.13
Satl5,0.3
Satim@,7.54
Sekje,1.94
SeRi,171.98
SeRif,0.2
SeRyb5,2.09
SEn6,0.7
SEn,5.17
Sabo,0.14
SabRo,0.27
Sakal,3.02
SaSlik,0.1
SagR5,21.61
Say,1.28
SE,0.21
Sal@,0.53
SalE,4.38
Sal@Z,1.69
Sal@Ze,1.47
Sal@ZER,1.47
Sal6,0.14
Salymo,1.63
Salytje,1.13
Saman,1.03
S@baR,0.22
S@baRd9m@,0.17
S@bEl@,0.55
Samo,10.99
Sam9lje,0.12
Samwa,0.61
S@,57.22
S@p,57.22
S@paN,32.49
S@piN6,11.03
S@pj6,35.02
S@pjona,8.24
S@saR,0.17
S@s9lje,3.08
S@kR,0.83
S@daj,0.82
S@d9lje,1.71
S@Z,14.45
S@Zm@,37.7
S@Z9R,0.47
Sanwan,0.44
S@,25.9
S@taZ,8.51
S@t9R,21.17
S@tje,12.96
S@tR,0.46
S@vR,0.77
kao,11.3
SapaRal,0.12
Sapo,54.91
Sapl5,0.21
SaplE,1.91
Sap9lje,0.24
SapR6,3.84
Sapito,1.84
SapitR,13
Sap6,1.16
SaR,11.86
SaRabja,2.46
SaR@s6,0.2
SaRb6,9.24
SaRbonaZ,0.27
SaRd6,0.28
SaRdonE,0.41
SaRdOnRE,0.1
SaRZ9m@,7.14
SaRZ9R,4.63
SaRjo,14.4
kaRizm,0.75
SaRlat@,4.44
SaRlatanizm,0.16
SaRlEstOn,0.27
SaRlo,0.46
SaRm,22.92
SaRm9R,1.08
SaRnje,0.84
SaRoNaR,0.85
SaRp@tje,2.57
SaR,0.18
SaR9tje,0.19
SaRtER,0.99
SaRtR2,0.34
SaRibd,0.16
Sa,0.74
Sase,0.35
SasmuS,0.12
SasnEZ,0.58
Sas9R,34.92
Sa,93
SatobRij@,0.17
Sat6,4.41
Satujm@,0.17
SatERtOn,0.21
So,13.84
SodR6,1.12
SofaZ,4.96
SofaR,1.62
SofbibR6,0.1
Sofo,0.63
Sof9R,40.59
Som,0.36
Sospje,0.24
Sos6,3.5
SaviRm@,0.14
tSEk9p,0.69
SEkype,0.69
SEdaR,0.53
tSizkEk,0.32
tSizb9Rg9R,3.06
SEd9vR,3.34
SEflj2,0.19
SEk,0.48
SEk,0.32
SlEm,0.31
S9m5,125.18
S9minm@,0.18
S9mino,1.42
S9mizje,4
S9nal,0.24
S9nap@,1.08
S9no,0.24
S9nil,1.4
SER,26.65
SERS9R,5.74
SeRoki,0.34
SeRi,0.13
SEstER,0.12
S9val,129.12
S9valE,0.53
S9valje,15.91
S9voSm@,0.14
S9vo,129.12
S9vE,3.27
S9v2,121.27
S9vRo,0.84
S9vR9j,1.58
S9vRije,0.35
S9vR6,1.36
Seswa,0.31
ki,1.29
kj@ti,0.32
SjaR,0.68
SibR,0.25
Sik,3
Sikan9R,0.21
Sikano,0.25
SiSkebab,0.24
SiSi,1.46
Siko,0.22
Sj5,223.53
Sj5lu,0.27
Sj5Sj5,0.3
Sj5d@,0.69
Sj9R,2.3
Sif6,6.11
Sifonje,1
SifR,27.28
SifR9m@,0.13
SiN6,1.31
Siwawa,0.38
Sili,2.21
Silj5,0.83
Silis,2.21
SilOm,0.1
S5p@ze,2.35
S5Sila,0.13
SintOk,1.8
Sinwa,24.73
Sjo,5.67
Sip9ndajl,0.12
Sip9ndajlz,0.12
Sike,0.58
kiRom@sj5,0.16
kiRopRakt9R,0.57
SiRyRZj5,15.57
Sist9Ra,0.11
Sl2,0.22
kloRal,0.2
klOR,0.79
kloRidRat,0.17
kloRofORm,0.63
kloRyR,0.33
SOk,31.46
Sokola,31.03
Sokolatje,0.11
k9R,7
Swa,113.35
koleRa,2.52
kolEsteROl,1.81
SOps8Ej,0.13
SOpER,0.29
Sop9R,0.29
tSoRizo,1.57
koRys,0.15
Su,29.86
Sufl9R,0.54
Suja,0.25
Sw@,0.14
Suka,0.16
SuSu,3.44
Suja,0.32
Sufl9R,0.57
kRetj5,11.96
kRist,1.65
kRistjanizm,2.11
kRom,0.82
kRomozom,1.72
kRonik9R,0.69
kRono,2.67
kRonomEtR,1.02
kRonometRaZ,0.37
kRiz@tEm,0.47
SySOtm@,1.9
SySoti,0.13
Sylo,0.34
Sum,0.38
SyRo,0.69
S9tnE,0.23
siblaZ,0.34
sibulo,0.25
siseROn,0.22
siseRo,0.68
sidR,2
sjEl,142.32
sjERZ,3.5
sj2,20.05
sigaR,17.15
sigaRijo,0.13
sil,3.57
silis,0.16
sim@,5.75
simtER,0.14
sim9tjER,31.34
simje,0.18
sine,10.35
sinema,63.49
sinemaveRite,0.2
sinematogRaf,0.48
sinefil,0.2
s5gle,12.37
sinOS,1.08
s5k@t,3.29
s5k@tnER,0.2
s5kjEm,5.17
s5tR,0.85
tSinzano,0.5
siRe,0.69
siRaZ,2.08
siRk6si,0.17
siRk8i,10.23
siR9R,0.45
siRk,23.25
sizo,8.72
site,16.11
sitad5,1.25
sitwaj5,29.6
sitRat,0.2
sitR6,10.92
sitRonje,0.21
sitRys,0.17
sivE,0.88
sivil,14.23
sivilize,0.6
sivizm,0.26
klebaR,1.65
klER,12.79
klER6,2.19
klam,0.34
kl@p,1.09
kl@,8.83
kl@de,0.19
kl@dEst5,2.86
klap,1.43
klapE,1.15
klapje,0.3
klapo,0.16
klapoti,0.3
klakaZ,0.1
klakmERd,0.19
klakm@,0.96
klaS,1.7
klasm@,2.65
klas9R,0.69
klostRofOb,0.11
klavs5,0.75
klavje,1.77
klEps,2
klER,0.82
klERZe,2.08
klik,1.17
kliSe,7.59
klik,0.4
klij@,112.12
kliNm@,0.14
kliNot@,1
klima,7.21
klimatiz9R,0.85
klimaks,0.18
kl5,3.97
klink9R,0.14
klip,2.98
klip9R,0.5
klikE,0.16
klikti,0.38
klito,0.36
klitoRis,1.28
klwatR,0.89
kloak,0.75
kloSaR,3.88
kloSe,2.38
klodo,4.12
klonaZ,1.05
klon,3.49
klopORt,0.7
klo,0.19
klu,13.83
klue,0.11
klu9R,0.16
klutje,0.62
kl9b,67.51
klistER,0.14
s@timEtR,10.89
koekipje,0.21
koot9R,0.46
kopilOt,0.49
koit,0.83
ku,5.04
koekipje,4.21
kotS,7.37
koagyl@,0.15
koasm@,0.14
koot9R,0.12
kobalt,0.55
kobaj,4.27
kobRa,4.24
kokakola,0.41
kokaR,0.19
kOksis,0.69
koSe,2.5
kOS,1.23
koS6,31.18
koSonE,0.76
kokER,0.47
koknE,0.24
kOkpit,1.93
kOktEl,10.27
kok6,1.65
kokoRiko,1.27
kokotje,0.73
koky,3.78
kodetny,0.17
kodaZ,0.3
kOd,51.27
kOdbaR,0.18
kodEks,0.62
koefisj@,0.99
k9R,239.97
kOfiSOp,0.1
kof5,0.33
kOfR,39.35
kOfR9fOR,4.62
kofRE,1.98
kof6dat9R,0.29
koNak,12.07
koNasje,0.5
kON,0.92
koN9R,0.48
koeRitje,0.14
kwaf9R,14.26
kw5,99.51
kw5kw5,0.19
kw5,2.13
kOl,9.72
kOlvER,0.12
kola,0.45
koleOptER,0.64
kolibRi,0.33
kolifiSE,0.32
kol5,0.27
kol5majaR,0.93
kolik,1.4
koli,7.5
kolEZ,11.58
koleZj5,0.89
kolaboRat9R,4.55
kolaZEn,1.23
kolaZ,1.31
kol@,4.28
kolapsys,0.17
kolEkt9R,0.87
kolEktif,3.44
kolEksjon9R,1.82
kolEktivizm,0.14
kOlEktOR,0.24
kolE,1.11
kol9R,0.11
kolE,0.28
kolje,19.91
koliN6,2.54
kolimat9R,0.69
kolOk,0.7
koliR,0.5
kol6bj5,1.17
kol6bje,0.12
kol6,2.79
kolonEl,103.7
kolonjal,0.49
kolonjalizm,0.34
kolonjo,0.49
kolonize,0.14
koloR@,0.42
koloRjaZ,0.49
koloRi,0.39
kolOs,2.72
kOlpORt9R,0.53
kOlt,0.97
kOlvER,0.19
kOm,40.9
koma,12.66
komedj5,6.5
kOm@S,0.36
k6ba,64.83
k6bat@,6.28
k6bi,0.69
k6bine,1.13
k6binaR,0.5
k6bina,0.23
k6bl,8.56
k6bo,0.4
k6bystibl,1.27
komEstibl,0.11
komik,0.69
komite,18.72
komeRaZ,1.54
komand,0.44
kom@d@,55.24
kom@dm@,20.47
kom@d9R,2.55
kom@do,5.39
kom@sm@,6.41
kom@,0.78
kom@tER,13.94
kom@tat9R,0.61
komERs@,4.34
komERs,19.57
komERsjal,0.63
komERsjo,0.63
komi,2.99
komisaRja,15.05
komodOR,1
kom1,13.98
komynal,0.14
komynaR,0.1
komyno,0.14
komynj@,0.28
komynikat9R,0.49
komynike,4.29
komynizm,4.29
komytat9R,0.48
k6pER,2.13
k6petit9R,0.34
k6pakt,0.15
k6pakt9R,0.13
k6padR,0.42
k6paN6,22.2
k6paNonaZ,0.14
k6paRtim@,6.73
k6pa,1.5
k6patibl,0.24
k6plEtm@,0.16
k6plem@,1.25
k6plE,4.46
k6plEks,5.95
k6plim@,17.18
k6plo,10.45
k6plot9R,0.19
k6pORt9m@,20.94
k6poze,0.7
k6poz@,2.81
k6poz9R,0.69
k6pozit,0.1
k6pozit9R,4.32
k6pOst,0.15
k6pREs9R,0.88
k6pRime,4.27
k6pRomi,6.26
k6taZ,0.3
k6t@,1.25
k6t,160.95
k6tgut,0.45
k6tR@dy,2.21
k6t9R,4.81
k6twaR,8.66
k6pyte,0.17
k6pyt9R,0.17
k6te,11.64
k6t,27.36
k6,122.62
konaR,0.19
k6kas9R,0.19
k6s@tRe,0.57
k6s@tRat9R,0.12
k6sEpt,8.66
k6sEpt9R,0.77
k6sER,31.65
k6sERto,1.63
k6sesjonER,0.7
k6sil,0.17
k6siljabyl,0.28
k6siljat9R,0.1
k6sitwaj5,4.46
k6k6bR,2.75
k6kuR,23.89
k6kRE,1.27
k6kyb5,1.98
k6kybinaZ,0.77
k6kyR@,6.36
k6de,0.1
k6dane,9.31
k6d@sat9R,1.02
k6dim@,0.68
k6disjOnm@,0.52
k6do,1.01
k6dOm,0.18
k6dOR,1.33
k6dykt9R,10.94
k6d8i,5.89
k6fedeRe,0.95
k6feR@sje,0.43
k6fEksjon9R,0.14
k6fEs9R,1.86
k6fEsjonal,1.4
k6fEsjono,1.4
k6feti,1.08
k6fid@,1.28
k6finm@,1.01
k6f5,1.66
k6fiz9R,0.27
k6fi,0.17
k6fli,13.79
k6fly@,0.21
k6fORmizm,1.22
k6fOR,6.02
k6fRER,3.98
k6Ze,20.74
k6Zelat9R,2
k6ZenER,0.38
k6glomeRa,0.44
k6gRE,15.77
k6gR,0.44
konifER,0.15
k6Zw5,0.98
k6ZyRe,0.56
konetabl,0.11
konEs9R,1.36
konaR,50.13
kono,0.16
k6keR@,1.34
k6kistadOR,0.38
k6sj@,1.17
k6skRi,0.27
k6sEj,87.14
k6seje,23.02
k6sEje,23.02
k6s5sys,0.65
k6s@tm@,3.56
k6sERvat9R,1.68
k6sERvatwaR,4.68
k6solat9R,0.29
k6some,0.2
k6somat9R,1.9
k6sOR,0.3
k6sORsjOm,0.81
k6sORtijOm,0.81
k6spiRat9R,0.85
k6sta,1.38
k6stipe,0.34
k6stit8@,0.27
k6stRikt9R,0.11
k6stRykt9R,1.81
k6syl,3.95
k6syla,3.84
k6sylt@,1.76
k6symeRizm,0.43
k6takt,69.85
k6taZj2,0.1
k6tEnER,3
k6tEn9R,3
k6t,13.3
k6t@platif,0.17
k6t@poR5,0.53
k6t@pt9R,0.14
k6tn@,0.5
k6tn9R,2.92
k6t@,7.22
k6t@tm@,0.15
k6t@sj2,0.28
k6tny,6.34
k6tEst,0.54
k6t9R,1.29
k6tEkst,4.5
k6tin@,6.92
k6tin@tal,1
k6tin@to,1
k6t5Z@,0.77
k6tiny,0.72
k6tin8at9R,0.11
k6tin8Om,0.55
k6tuR,2.09
k6tuRn9m@,0.14
k6tRa,0.2
k6tRol,66.28
k6tRol9R,8.93
k6tRasEptif,0.55
k6tRakt8El,0.71
k6tRER,62.13
k6tRalto,0.28
k6tRast,1.48
k6tRa,53.23
k6tR,5.43
k6tRamiRal,0.19
k6tR9kuR@,0.59
k6tREspjonaZ,0.67
k6tR5tERogatwaR,0.48
k6tR9ZuR,0.39
k6tR2lam6tR,0.8
k6tRORdR,0.47
k6tR9plake,0.1
k6tR9tORpij9R,0.2
k6tR9b@dje,1.43
k6tR9bas,0.41
k6tR9S@,0.46
k6tR9k9R,0.69
k6tR9ku,0.26
k6tR9di,0.15
k6tR9mEtR,3.65
k6tR9plake,0.15
k6tR9pwa,0.56
k6tR9pw5,0.33
k6tR9s5,0.21
k6tR9s@s,0.5
k6tR9t@,1.43
k6tR9v9n@,0.5
k6tRORdR,0.41
k6v5ky,0.29
k6vales@,0.16
k6valEs@,0.16
k6vERti,0.94
k6vERtis9R,0.35
k6vwa,9.39
k6vwajaZ,0.1
k6vwaj9R,1.1
kuki,8.22
kukiz,8.22
kuli,0.16
koopeR@,0.1
koORdinat9R,0.83
koORdone,0.16
kop5,158.62
kopo,0.67
kopj9R,0.3
kopilOt,1.5
kopRodykt9R,0.11
kOp,0.41
kopiRajt,0.41
kOk,12.47
kokaR,0.34
kokaR,0.11
kOklE,0.1
kOkliko,1.05
kOktje,0.29
kokijaZ,2.66
kok5,7.55
kOR,3.35
koRe5,1.79
koRaj,1.43
koR@,1.96
koRo,1.43
kORbo,5.72
kORbijaR,1.63
kORb5,0.14
kORdaZ,0.27
kORdo,0.2
kORdjal,0.44
kORd6,5.21
kORd6bl2,0.27
kORdonE,0.16
kORdonje,1.86
koR5tj5,0.45
kORmoR@,0.26
kORnflEks,0.22
kORnaR,0.71
koRnER,0.3
kORnER,0.3
kORnE,1.85
kORnjo,0.95
kORniS6,4.17
koRonER,2.02
kORpoRal,0.11
kOR,250.15
kORpys,0.38
koRal,0.9
koREkt9R,0.28
koReZidOR,0.15
koREsp6d@,2.59
koRidOR,1.84
koR6py,1.02
koRypt9R,0.3
kORsaZ,1.44
kORsE,2.04
kORso,0.48
kORtEZ,2.91
kORtEks,8.68
kosinys,0.28
kOsmos,2.34
kOstaR,3.81
kOsto,3.37
kOstym,51.42
kOstymje,0.42
kozi,0.12
koto,0.41
kotij6,0.32
kot6,10.09
kot6tiZ,0.43
kotaZ,1.54
ku,44.09
kwak,0.14
kwaR,0.25
kuSe,4.6
kuSaZ,1.86
kuS@,0.62
kuSe,7.8
kuku,13.16
kud,10.19
kuf5,1.48
kugaR,0.72
kwik,0.64
kuj6,5.75
kule,0.42
kulaZ,0.17
kuli,0.58
kulwaR,29.17
ku,471.82
kudpw5,0.13
kupe,1.33
kupSu,0.14
kupsiRk8i,0.13
kupkup,0.1
kupf2,0.12
kupgORZ,0.28
kup6gl,0.26
kuppapje,0.36
kupv@,0.31
kupRE,0.42
kup9R,0.55
kuplaZ,0.11
kupl,49.62
kuplE,1.31
kupl9R,0.18
kup6,1.69
kuRaZ,70.73
kuR@,111.58
kuR9R,5.52
kuROnm@,2.4
kuRjEl,0.24
kuRje,23.98
kuRu,3.55
kuRsje,4.81
kuR,8.39
kuRbuj6,0.29
kuRsiRk8i,1.53
kuRmetRaZ,0.17
kuRtaZ,0.36
kuRtje,2.96
kuRtiz@,2.58
kuskus,1.05
kuskusje,0.15
kuz5,73.87
kus5,4.41
kuto,58.15
kutyRje,3.52
kuv@,16.83
kuvERkl,2.71
kuvER,7.98
kuvR9Sef,0.58
kuvR9f2,3.63
kuvR9li,0.33
kuvR9R,0.41
kojOt,4.01
kRan,28.6
kRan9R,0.6
kRe@sje,1.42
kReat9R,6.54
kReatif,0.33
kReasjonizm,0.14
kRedi,28.21
kRedit9R,0.22
kRematwaR,0.92
kRematORjOm,0.81
kRemje,0.34
kReno,1.76
kRepi,0.14
kRepitm@,0.42
kRepyskyl,7.35
kRetase,0.23
kRet5,33.54
kRab,8.14
kRabs,0.41
kRak,2.85
kRaSa,1.34
kRaS9R,0.33
kRaSwaR,0.56
kRak,7.77
kRakER,2.22
kRak9R,2.22
kR@p6,1.49
kR@,13.97
kRan,0.96
kRapo,11.3
kRap,0.73
kRakl5,1.01
kRakm@,2.48
kRaS,6.68
kRatER,2.79
kREj6,10.97
kRedo,0.78
kRik,0.78
kRematORjOm,0.22
kReSEndo,0.28
kRes6,0.24
kR2zE,0.21
kR2,2.83
kR9vaR,0.29
kR9v9tje,0.16
kRi,45.58
kRibl,0.92
kRik,1.2
kRikEt,2.94
kRikRi,0.28
kRij9R,0.34
kRim,104.07
kRiminEl,35.62
kR5,0.46
kRikE,1.29
kRisp5,0.1
kRism@,1.77
kRistal,10.22
kRistal5,0.17
kRisto,10.22
kRitER,3.55
kRiteRjOm,0.38
kRut6,0.91
kRo,3.19
kRo@Z@b,0.16
kROSpat,0.17
kROSpje,0.56
kRoSE,10.69
kROSt9R,0.29
kRoko,1.51
kRokodil,9.26
kRwaze,0.59
kRwazm@,2.7
kRwaz9R,2.46
kRwas@,3.85
kRun9R,0.25
kRok@,0.23
kROkmitEn,0.61
kROkm9sj2,0.28
kROkmOR,2.2
kROk9mitEn,0.39
kRokE,0.42
kROk9R,0.17
kRoki,2.63
kROs,0.22
kRotal,0.82
kRot6,0.28
kRot5,0.58
kRul@,0.92
kRupje,0.63
kRupj6,0.52
kRwaj@,2.99
kRy,1.95
kRysifje,0.2
kRysifi,1.22
kRuze,0.17
kR9mb9l,0.11
kRystase,0.95
kRuzERo,0.8
kRuzEROs,0.8
kRiptaZ,0.52
kRiptogRam,0.4
kybaZ,0.14
kyb5,2.69
kyb,2.81
kybitys,0.2
k9j9R,0.24
k8ik8i,0.15
k8iR,14.25
k8iRase,1.48
k8iRasje,0.25
k8iz9R,0.1
k8izinje,15.89
k8iso,0.14
k8iso,0.11
k8isto,2.46
k8istR,0.11
k8ivR,5.64
ky,150.81
